ADR_SECTEUR,ANNEEDEPLANTATION,ANNEEREALISATIONDIAGNOSTIC,ANNEETRAVAUXPRECONISESDIAG,DIAMETREARBREAUNMETRE,ESPECE,FREQUENTATIONCIBLE,GENRE_BOTA,NOTEDIAGNOSTIC,PRIORITEDERENOUVELLEMENT,SOUS_CATEGORIE_DESC,STADEDEDEVELOPPEMENT,STADEDEVELOPPEMENTDIAG,TRAVAUXPRECONISESDIAG,TROTTOIR,VIGUEUR,coord_x,coord_y,DEFAUT,Collet,Houppier,Racine,Tronc
region5,2004,2014,2015,65,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre denceintes fermées,Arbre adulte,Arbre adulte,Controle,non,vigoureux,1915479.467,4223706.078,non,non,non,non,non
region1,2011,2014,2014,15,siliquastrum,passages fréquents et arrêts fréquents,Cercis,Arbre davenir incertain, 11-20,Arbre despaces ouverts,Arbre jeune,Arbre jeune,Taille de bois mort,non,vigueur intermédiaire,1912945.218,4224826.767,oui,non,non,non,oui
region5,2004,2014,2014,65,robusta,passages fréquents et arrêts fréquents,Populus,Arbre davenir incertain, 11-20,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille rideau,non,vigoureux,1915475.666,4223254.209,oui,non,oui,non,non
region5,2004,2014,2015,45,serrulata,passages fréquents et arrêts fréquents,Prunus,Arbre davenir normal, 20-50,Arbre denceintes fermées,Arbre adulte,Arbre adulte,Controle,non,vigoureux,1914927.952,4222356.035,non,non,non,non,non
region2,2014,2014,2019,15,styraciflua,passages fréquents ou arrêts,Liquidambar,Arbre davenir normal, 20-50,Arbre de voirie,Arbre jeune,Arbre jeune,Controle,oui,vigoureux,1914503.225,4223981.708,non,non,non,non,non
region5,2004,2015,2016,75,pseudoplatanus,passages fréquents et arrêts fréquents,Acer,Arbre davenir incertain, 11-20,Arbre de voirie,Arbre adulte,Arbre adulte,Taille mise en sécurité,oui,vigueur intermédiaire,1915441.874,4222304.188,oui,non,oui,non,non
region6,2004,2014,2014,15,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,non,vigoureux,1914530.074,4221429.394,non,non,non,non,non
region1,2004,2013,2020,25,saccharinum,passages fréquents et arrêts fréquents,Acer,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,non,vigoureux,1912999.961,4224248.089,non,non,non,non,non
region2,2004,2015,2020,25,styraciflua,passages fréquents et arrêts fréquents,Liquidambar,Arbre davenir incertain, 20-50,Arbre denceintes fermées,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,non,vigoureux,1915724.753,4225251.128,oui,non,oui,non,non
region6,2008,2014,2014,35,nigra,passages fréquents ou arrêts,Pinus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre jeune,Arbre adulte,Controle,oui,vigoureux,1914566.547,4221338.213,non,non,non,non,non
region6,2004,2014,2014,45,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigoureux,1914313.61,4221323.726,non,non,non,non,non
region2,2004,2015,2016,5,inconnu,passages fréquents et arrêts fréquents,Acer,Arbre davenir incertain, 20-50,Arbre denceintes fermées,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1915484.414,4225098.284,oui,oui,non,non,non
region6,2004,2015,2020,25,inconnu,passages fréquents et arrêts fréquents,Acer,Arbre davenir incertain, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigoureux,1914276.183,4221809.146,oui,non,oui,non,oui
region4,2004,2015,2017,95,sylvatica,passages fréquents et arrêts fréquents,Fagus,Arbre à abattre dans les 10 ans, 6-10,Arbre despaces ouverts,Arbre vieillissant,Arbre vieillissant,Controle,non,vigoureux,1915212.171,4223081.429,oui,oui,non,oui,non
region2,2004,2013,2016,25,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1914548.207,4224166.627,non,non,non,non,non
region2,2004,2014,2014,55,nigra,passages fréquents et arrêts fréquents,Populus,Arbre davenir normal, 20-50,Arbre denceintes fermées,Arbre adulte,Arbre adulte,Taille de bois mort,non,vigueur intermédiaire,1915286.075,4225047.687,oui,oui,non,non,non
region3,2004,2013,2015,55,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigoureux,1913110.276,4222347.704,non,non,non,non,non
region1,2004,2014,2016,55,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1913181.633,4225228.129,non,non,non,non,non
region4,2004,2014,2016,35,alba,passages fréquents et arrêts fréquents,Betula,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille de bois mort,non,vigoureux,1913578.857,4223220.073,non,non,non,non,non
region3,2004,2013,2016,35,altissima,passages fréquents et arrêts fréquents,Ailanthus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1912938.892,4222250.76,non,non,non,non,non
region6,2004,2014,2016,45,abies,passages fréquents et arrêts fréquents,Picea,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1914904.799,4221301.215,non,non,non,non,non
region1,2014,2014,2019,15,serrata,passages fréquents ou arrêts,Zelkova,Arbre davenir normal, 20-50,Arbre de voirie,Arbre jeune,Arbre jeune,Controle,non,vigoureux,1912557.287,4225911.013,non,non,non,non,non
region5,2004,2013,2015,15,platanoides,passages fréquents ou arrêts,Acer,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille déclaircie,non,vigoureux,1915655.318,4222661.141,non,non,non,non,non
region5,2004,2015,2017,65,inconnu,passages fréquents ou arrêts,Acer,Arbre davenir incertain, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre vieillissant,Taille de bois mort,non,vigueur intermédiaire,1915391.873,4224602.595,oui,non,oui,non,non
region4,2004,2013,2016,45,inconnu,passages fréquents et arrêts fréquents,Carpinus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,oui,vigoureux,1914403.424,4223589.011,non,non,non,non,non
region1,2015,2015,2020,15,indica,passages fréquents ou arrêts,Lagerstroemia,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre jeune,Arbre jeune,Controle,non,vigoureux,1912912.236,4224851.463,non,non,non,non,non
region2,2004,2015,2017,65,pseudoplatanus,passages fréquents ou arrêts,Acer,Arbre à abattre dans les 10 ans, 6-10,Arbre despaces ouverts,Arbre vieillissant,Arbre vieillissant,Controle,non,vigueur intermédiaire,1914914.274,4225353.038,oui,oui,oui,oui,oui
region3,2004,2013,2016,25,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille cohabitation,non,vigoureux,1912940.875,4222756.46,non,non,non,non,non
region5,2004,2014,2014,45,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 11-20,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigueur intermédiaire,1915345.119,4222102.357,oui,non,oui,non,non
region3,2004,2014,2014,45,americana,passages fréquents et arrêts fréquents,Fraxinus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille de bois mort,non,vigueur intermédiaire,1912674.455,4223078.172,oui,non,oui,non,non
region2,2004,2013,2016,15,hippocastanum,passages fréquents et arrêts fréquents,Aesculus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre jeune,inconnu,oui,vigoureux,1913782.439,4224616.497,non,non,non,non,non
region6,2004,2014,2014,55,pseudoplatanus,passages fréquents ou arrêts,Acer,Arbre davenir incertain, 11-20,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Controle,non,vigoureux,1914597.503,4221536.449,oui,non,oui,non,non
region5,2004,2013,2018,75,deodara,passages fréquents ou arrêts,Cedrus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille cohabitation,non,vigoureux,1915156.922,4222443.635,non,non,non,non,non
region2,2004,2014,2017,65,exelsa,passages fréquents et arrêts fréquents,Picea,Arbre davenir normal, 11-20,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille de bois mort,non,vigoureux,1914765.145,4225421.816,oui,non,non,oui,non
region4,2004,2013,2016,55,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,oui,vigoureux,1914558.746,4222473.821,non,non,non,non,non
region4,2004,2014,2019,95,grandiflora,passages fréquents et arrêts fréquents,Magnolia,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille de bois mort,non,vigoureux,1915178.042,4223100.212,non,non,non,non,non
region6,2004,2014,2014,45,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,non,vigoureux,1914868.769,4220586.894,non,non,non,non,non
region1,2004,2013,2016,15,japonica,passages fréquents et arrêts fréquents,Sophora,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1912902.012,4224922.903,non,non,non,non,non
region6,2004,2015,2018,15,cappadocicum,passages fréquents et arrêts fréquents,Acer,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre jeune,Taille formation et mise au gabarit,non,vigoureux,1913971.433,4221877.053,oui,non,non,non,oui
region3,2004,2014,2014,25,cordata,passages fréquents et arrêts fréquents,Alnus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigoureux,1912569.491,4221332.812,non,non,non,non,non
region2,2004,2014,2016,15,soulangiana,passages fréquents et arrêts fréquents,Magnolia,Arbre davenir normal, 11-20,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,oui,vigueur intermédiaire,1914448.784,4224655.489,non,non,non,non,non
region6,2009,2015,2016,15,fraxinifolia,passages fréquents et arrêts fréquents,Pterocarya,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre jeune,Arbre adulte,inconnu,oui,vigoureux,1914120.341,4222190.722,non,non,non,non,non
region4,2004,2013,2016,45,robusta,passages fréquents et arrêts fréquents,Populus,Arbre davenir normal, 11-20,Arbre de voirie,Arbre adulte,Arbre adulte,Controle,oui,vigoureux,1913809.164,4223434.289,oui,oui,non,non,oui
region6,2004,2015,2017,45,nigra,passages fréquents ou arrêts,Populus,Arbre davenir incertain, 11-20,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Controle,non,vigoureux,1914857.328,4222306.451,non,non,non,non,non
region3,2004,2013,2016,25,biloba,passages fréquents et arrêts fréquents,Ginkgo,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1912598.028,4221993.657,oui,oui,non,non,oui
region1,2014,2014,2019,15,domestica,passages fréquents ou arrêts,Malus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre jeune,Arbre jeune,Controle,non,vigoureux,1912555.653,4223657.963,non,non,non,non,non
region2,2014,2014,2020,15,lutea,passages fréquents ou arrêts,Cladastris,Arbre davenir normal, 20-50,Arbre de voirie,Arbre jeune,Arbre jeune,Controle,oui,vigoureux,1914015.142,4224460.381,non,non,non,non,non
region2,2004,2013,2016,45,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1914977.582,4225573.507,non,non,non,non,non
region1,2004,2014,2014,55,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigoureux,1911933.896,4226268.486,non,non,non,non,non
region3,2004,2013,2012,55,nigra,passages fréquents et arrêts fréquents,Pinus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Controle,non,vigoureux,1912770.959,4221855.194,non,non,non,non,non
region5,2004,2015,2016,15,sempervirens,passages fréquents et arrêts fréquents,Cupressus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,inconnu,oui,vigoureux,1915449.831,4222244.111,non,non,non,non,non
region3,2004,2014,2015,45,platanoides,passages fréquents et arrêts fréquents,Acer,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille de bois mort,non,vigoureux,1912665.0,4223040.077,oui,non,non,oui,non
region5,2004,2015,2020,35,inconnu,passages fréquents ou arrêts,Acer,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigoureux,1915802.74,4224591.412,non,non,non,non,non
region1,2004,2013,2016,45,cordata,passages fréquents et arrêts fréquents,Tilia,Arbre davenir normal, 11-20,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigoureux,1912595.954,4223777.481,oui,non,oui,non,non
region5,2004,2015,2016,25,tomentosa,passages fréquents et arrêts fréquents,Paulownia,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre jeune,Arbre adulte,inconnu,non,vigoureux,1915501.638,4223186.243,oui,non,oui,non,non
region5,2004,2015,2017,25,cordata,passages fréquents ou arrêts,Alnus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre jeune,Taille de bois mort,non,vigueur intermédiaire,1915460.265,4224669.387,oui,non,oui,non,non
region1,2004,2015,2017,45,serrulata,passages fréquents et arrêts fréquents,Prunus,Arbre davenir normal, 11-20,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigoureux,1913354.59,4224778.161,oui,non,non,non,oui
region4,2004,2014,2016,25,saccharinum,passages fréquents et arrêts fréquents,Acer,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,oui,vigoureux,1914642.54,4223600.989,non,non,non,non,non
region5,2004,2013,2016,65,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1915598.624,4222633.674,non,non,non,non,non
region6,2004,2013,2017,45,tomentosa,passages fréquents et arrêts fréquents,Tilia,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille de bois mort,non,vigoureux,1914918.822,4222253.355,non,non,non,non,non
region2,2004,2014,2016,25,grandiflora,passages fréquents et arrêts fréquents,Magnolia,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,oui,vigoureux,1914901.758,4225542.651,non,non,non,non,non
region6,2004,2014,2014,25,nigra,passages fréquents et arrêts fréquents,Pinus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,non,vigoureux,1915338.115,4221396.966,non,non,non,non,non
region6,2004,2015,2018,25,platanoides,passages fréquents et arrêts fréquents,Acer,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,non,vigoureux,1914418.352,4221370.829,non,non,non,non,non
region3,2004,2013,2015,5,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre jeune,Arrosage,non,vigoureux,1913286.8,4222850.463,non,non,non,non,non
region2,2004,2015,2016,25,canadensis,passages fréquents et arrêts fréquents,Amélanchier,Arbre davenir incertain, 11-20,Arbre despaces ouverts,Arbre adulte,Arbre vieillissant,inconnu,non,vigueur intermédiaire,1915151.155,4224682.097,oui,oui,oui,non,oui
region2,2004,2015,2016,55,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1913557.654,4223680.069,non,non,non,non,non
region2,2004,2013,2016,15,pseudoplatanus,passages fréquents et arrêts fréquents,Acer,Arbre davenir normal, 11-20,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,oui,vigoureux,1914775.593,4224675.472,non,non,non,non,non
region1,2005,2015,2018,25,tulipifera,passages fréquents et arrêts fréquents,Liriodendron,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre jeune,Taille formation et mise au gabarit,non,vigoureux,1913111.145,4223592.092,non,non,non,non,non
region6,2004,2015,2017,15,baccata,passages fréquents et arrêts fréquents,Taxus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigoureux,1914026.548,4221709.337,oui,non,non,non,oui
region3,2004,2015,2016,45,saccharinum,passages fréquents et arrêts fréquents,Acer,Arbre davenir normal, 20-50,Arbre denceintes fermées,Arbre adulte,Arbre adulte,Controle,non,vigoureux,1912693.883,4223284.503,non,non,non,non,non
region6,2004,2015,2017,25,verrucosa,passages fréquents ou arrêts,Betula,Arbre à abattre dans les 10 ans, 0-1,Arbre despaces ouverts,inconnu,inconnu,Controle,oui,vigoureux,1915046.137,4222016.485,oui,oui,non,non,oui
region1,2004,2014,2014,35,nigra,passages fréquents et arrêts fréquents,Populus,Arbre davenir incertain, 11-20,Arbre de voirie,Arbre adulte,Arbre adulte,Taille déclaircie,non,vigoureux,1912991.693,4225742.363,non,non,non,non,non
region1,2004,2014,2016,25,ceracifera,passages fréquents et arrêts fréquents,Prunus,Arbre davenir incertain, 11-20,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1912704.717,4224172.507,oui,oui,non,oui,oui
region2,2014,2014,2020,15,lutea,passages fréquents ou arrêts,Cladastris,Arbre davenir normal, 20-50,Arbre de voirie,Arbre jeune,Arbre jeune,Controle,oui,vigoureux,1914124.558,4224473.42,non,non,non,non,non
region4,2004,2013,2016,15,saccharinum,passages fréquents et arrêts fréquents,Acer,Arbre davenir normal, 11-20,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,oui,vigueur intermédiaire,1915023.646,4222786.749,non,non,non,non,non
region1,2004,2013,2016,25,pseudoplatanus,passages fréquents et arrêts fréquents,Acer,Arbre davenir normal, 11-20,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1913067.603,4225792.18,non,non,non,non,non
region2,2004,2015,2016,25,campestris,passages fréquents ou arrêts,Acer,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1914400.228,4223977.962,non,non,non,non,non
region4,2004,2014,2016,25,calleryana,passages fréquents et arrêts fréquents,Pyrus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1914396.016,4223369.115,non,non,non,non,non
region6,2009,2015,2018,15,platanoides,passages fréquents et arrêts fréquents,Acer,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre jeune,Taille formation et mise au gabarit,oui,vigoureux,1914334.299,4222200.625,non,non,non,non,non
region6,2004,2015,2016,25,campestris,passages fréquents et arrêts fréquents,Acer,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,inconnu,non,vigueur intermédiaire,1913901.745,4221634.439,oui,non,oui,non,non
region2,2004,2014,2016,45,colurna,passages fréquents et arrêts fréquents,Corylus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1915339.507,4225721.668,non,non,non,non,non
region3,2004,2015,2018,25,tulipifera,passages fréquents et arrêts fréquents,Liriodendron,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre jeune,Taille formation et mise au gabarit,non,vigoureux,1912862.622,4223569.138,non,non,non,non,non
region2,2004,2014,2015,25,excelsior,passages fréquents et arrêts fréquents,Fraxinus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille de bois mort,non,vigueur intermédiaire,1914920.501,4225202.606,non,non,non,non,non
region5,2004,2015,2017,25,betulus,passages fréquents ou arrêts,Carpinus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille cohabitation,non,vigueur intermédiaire,1914778.208,4222480.756,oui,non,oui,non,non
region2,2004,2015,2019,35,nigra,passages fréquents et arrêts fréquents,Pinus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigoureux,1913384.532,4225338.899,non,non,non,non,non
region6,2004,2015,2017,25,campestris,passages fréquents et arrêts fréquents,Acer,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille cohabitation,oui,vigoureux,1914934.89,4221401.848,non,non,non,non,non
region3,2004,2013,2015,55,tomentosa,passages fréquents et arrêts fréquents,Tilia,Arbre davenir normal, 20-50,Arbre denceintes fermées,Arbre adulte,Arbre adulte,Controle,non,vigoureux,1913093.386,4222947.085,non,non,non,non,non
region2,2004,2014,2015,55,bignonoides,passages fréquents et arrêts fréquents,Catalpa,Arbre à abattre dans les 5 ans, 11-20,Arbre despaces ouverts,Arbre adulte,Arbre vieillissant,Abattage,non,vieillissement dépérissement,1915249.009,4225900.067,oui,non,oui,non,oui
region4,2004,2014,2015,25,leylandii,passages fréquents et arrêts fréquents,Cupressocyparis,Arbre davenir incertain, 11-20,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille de bois mort,non,vigoureux,1913957.508,4223174.123,non,non,non,non,non
region6,2004,2013,2016,35,excelsior,passages fréquents ou arrêts,Fraxinus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille déclaircie,non,vigoureux,1914846.411,4222330.592,non,non,non,non,non
region2,2004,2014,2014,35,pseudoplatanus,passages fréquents et arrêts fréquents,Acer,Arbre à abattre dans les 10 ans, 6-10,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigueur intermédiaire,1914444.468,4224305.735,oui,non,oui,non,non
region5,2004,2014,2014,15,hippocastanum,passages fréquents et arrêts fréquents,Aesculus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre jeune,Taille formation et mise au gabarit,oui,vigoureux,1915721.951,4222804.649,non,non,non,non,non
region5,2004,2015,2018,5,inconnu,passages fréquents et arrêts fréquents,Acer,Arbre davenir incertain, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille de bois mort,oui,vigoureux,1916082.045,4223216.838,oui,non,oui,non,non
region4,2004,2015,2016,45,verrucosa,passages fréquents ou arrêts,Betula,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1914212.189,4222494.072,non,non,non,non,non
region2,2004,2015,2018,65,bignonoides,passages fréquents ou arrêts,Catalpa,Arbre à abattre dans les 10 ans, 6-10,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Controle résistographe,non,vigueur intermédiaire,1913670.159,4225125.981,oui,non,oui,non,oui
region6,2004,2014,2015,35,excelsior,passages fréquents et arrêts fréquents,Fraxinus,Arbre davenir normal, 20-50,Arbre denceintes fermées,Arbre adulte,Arbre adulte,Controle,non,vigoureux,1915224.224,4221890.07,non,non,non,non,non
region5,2004,2015,2020,25,excelsior,passages fréquents et arrêts fréquents,Fraxinus,Arbre davenir incertain, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigoureux,1916088.087,4223267.924,oui,non,oui,non,non
region1,2004,2015,2018,5,soulangiana,passages fréquents et arrêts fréquents,Magnolia,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,non,vigoureux,1913370.933,4224950.234,non,non,non,non,non
region1,2004,2015,2020,15,styraciflua,passages fréquents et arrêts fréquents,Liquidambar,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre jeune,Taille formation et mise au gabarit,oui,vigoureux,1913110.629,4223603.327,oui,oui,non,non,non
region5,2013,2013,2019,15,monspessulanum,passages fréquents ou arrêts,Acer,Arbre davenir normal, 20-50,Arbre de voirie,Arbre jeune,Arbre jeune,Controle,non,vigoureux,1915443.939,4222788.03,non,non,non,non,non
region1,2004,2013,2016,15,styraciflua,passages fréquents et arrêts fréquents,Liquidambar,Arbre davenir normal, 11-20,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigoureux,1912596.513,4223857.471,non,non,non,non,non
region2,2004,2015,2019,35,nigra,passages fréquents et arrêts fréquents,Pinus,Arbre davenir incertain, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigoureux,1913414.622,4225264.902,oui,non,non,non,oui
region2,2009,2014,2016,25,sylvatica,passages fréquents et arrêts fréquents,Fagus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre jeune,Arbre adulte,inconnu,oui,vigoureux,1914615.268,4224354.871,non,non,non,non,non
region4,2004,2015,2016,25,inconnu,passages fréquents ou arrêts,Pinus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1913780.557,4223098.659,non,non,non,non,non
region5,2004,2015,2017,55,robur,passages fréquents et arrêts fréquents,Quercus,Arbre davenir incertain, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigoureux,1916223.678,4223277.206,oui,non,oui,non,non
region3,2004,2015,2017,95,nigra,passages fréquents et arrêts fréquents,Juglans,Arbre à abattre dans les 10 ans, 6-10,Arbre denceintes fermées,Arbre adulte,Arbre vieillissant,Taille mise en sécurité,non,vieillissement dépérissement,1913124.099,4221280.12,oui,non,oui,non,non
region2,2004,2015,2016,25,tulipifera,passages fréquents et arrêts fréquents,Liriodendron,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,non,vigoureux,1914419.684,4223914.838,non,non,non,non,non
region2,2004,2014,2014,35,platyphyllos,passages fréquents et arrêts fréquents,Tilia,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigoureux,1914698.668,4225057.004,non,non,non,non,non
region5,2004,2014,2014,65,alba,passages fréquents et arrêts fréquents,Salix,Arbre davenir normal, 11-20,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille de bois mort,non,vigueur intermédiaire,1915185.83,4222820.616,oui,non,oui,non,non
region6,2004,2015,2017,5,utilis,passages fréquents et arrêts fréquents,Betula,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigoureux,1914212.915,4222062.116,non,non,non,non,non
region5,2004,2013,2016,35,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1915175.42,4224527.877,oui,non,non,non,oui
region3,2004,2013,2015,35,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigoureux,1913017.162,4222313.527,non,non,non,non,non
